Question,PossibleAnswer1,PossibleAnswer2,PossibleAnswer3,PossibleAnswer4,CorrectAnswer
"What can you use to automatically send an alert if an administrator 
stops an Azure virtual machine?",Azure Advisor,Azure Service Health,Azure Monitor,Azure Network Watcher,A
"You have an Azure environment. 
You need to create a new Azure virtual machine from a tablet that runs the Android 
operating system. 
What are three possible solutions? Each correct answer presents a complete solution.",Use Bash in Azure Cloud Shell.,Use PowerShell in Azure Cloud Shell.,Use the PowerApps portal.,"Use the Security & Compliance admin center. 
• E. Use the Azure portal.",B
Which service provides serverless computing in Azure?,Azure Virtual Machines,Azure Functions,Azure storage account,Azure dedicated hosts,A
"Your Azure environment contains multiple Azure virtual machines. 
You need to ensure that a virtual machine named VM1 is accessible from 
the Internet over HTTP. 
What are two possible solutions? Each correct answer presents a complete 
solution.",Modify an Azure Traffic Manager profile,Modify a network security group (NSG),Modify a DDoS protection plan,Modify an Azure firewall,B
"5. What can you use to identify underutilized or unused Azure virtual machines?
 A. Azure Advisor 
• B. Azure Cost Management + Billing 
• C. Azure reservations 
• D. Azure Policy 
Answer: A 
Explanation: 
Azure Advisor is a service in Microsoft Azure that provides personalized and actionable 
recommendations to help optimize your Azure resources and configurations. It helps you 
identify underutilized or unused Azure virtual machines by analysing usage patterns, 
performance metrics, and other telemetry data. 
When you use Azure Advisor, it examines your Azure environment and provides insights into 
various aspects, including virtual machine usage. It can suggest resizing or deallocating 
virtual machines that are not being fully utilized, helping you optimize costs and improve 
overall efficiency. 
6. You have an Azure environment that contains multiple Azure virtual 
machines. 
You plan to implement a solution that enables the client computers on your 
on-premises network to communicate to the Azure virtual machines. 
You need to recommend which Azure resources must be created for the 
planned solution. 
Which two Azure resources should you include in the recommendation?",A virtual network gateway,A load balancer,An application gateway,"A virtual network 
• E. A gateway subnet",A
"You attempt to create several managed Microsoft SQL Server instances 
in an Azure environment and receive a message that you must increase 
your Azure subscription limits. 
What should you do to increase the limits?
A. Create a service health alert 
• B. Upgrade your support plan 
• C. Modify an Azure policy 
• D. Create a new support request 
Answer: D 
Explanation: 
To increase your Azure subscription limits, you need to create a new support request with 
Microsoft Azure support. Azure subscription limits are set by default, and if you require 
higher limits for specific resources or services, you can request an increase through the 
Azure support portal. 
By creating a new support request, you can specify the limits you need to increase, and 
Azure support will review your request and take appropriate action based on your 
requirements. 
8. You plan to map a network drive from several computers that run 
Windows 10 to Azure Storage. 
You need to create a storage solution in Azure for the planned mapped 
drive. 
What should you create?",an Azure SQL database,a virtual machine data disk,a File service in a storage account,a Blob service in a storage account,C
"Your company plans to start using Azure and will migrate all its network 
resources to Azure. 
You need to start the planning process by exploring Azure. 
What should you create first?",A subscription,A resource group,A virtual network,A management group,A
"Which Azure service should you use to collect events from multiple 
resources into a centralized repository?",Azure Event Hubs,Azure Analysis Services,Azure Monitor,Azure Stream Analytics,A
"Your company plans to deploy an Artificial Intelligence (AI) solution in 
Azure. 
What should the company use to build, test, and deploy predictive 
analytics solutions?",Azure Logic Apps,Azure Machine Learning Designer,Azure Batch,Azure Cosmos DB,B
"Your company plans to deploy several million sensors that will upload 
data to Azure. 
You need to identify which Azure resources must be created to support the 
planned solution. 
Which two Azure resources should you identify? Each correct answer 
presents part of the solution.",Azure Data Lake,Azure Queue storage,Azure File Storage,"Azure IoT Hub 
• E. Azure Notification Hubs",B
"You have an on-premises application that sends email notifications 
automatically based on a rule. 
You plan to migrate the application to Azure. 
You need to recommend a serverless computing solution for the 
application. 
What should you include in the recommendation?",A web app,A server image in Azure Marketplace,A logic app,An API app,C
"Which Azure service provides a set of version control tools to manage 
code?",Azure Repos,Azure DevTest Labs,Azure Storage,Azure Cosmos DB,A
"A team of developers at your company plans to deploy, and then 
remove, 50 customized virtual machines each week. Thirty of the virtual 
machines run Windows 
Server 2016 and 20 of the virtual machines run Ubuntu Linux. 
You need to recommend which Azure service will minimize the 
administrative effort required to deploy and remove the virtual machines. 
What should you recommend?",Azure Reserved Virtual Machines (VM) Instances,Azure virtual machine scale sets,Azure DevTest Labs,Microsoft Managed Desktop,C
"What is the most severe failure from which an Azure Availability Zone 
can be used to protect access to Azure service?",A physical server failure,An Azure region failure,A storage failure,An Azure data center failure,D
"You need to purchase a third-party virtual security appliance that you 
will deploy to an Azure subscription. 
What should you use?",Azure subscriptions,Azure Security Center,Azure Marketplace,Microsoft Store,C
