Question,PossibleAnswer1,PossibleAnswer2,PossibleAnswer3,PossibleAnswer4,CorrectAnswer
Which of the following is/are the levels of implementation of data structure,Abstract level,Application level,Implementation level,All of the above,D
Which of the following is non-liner data structure?,Stacks,List,Strings,Trees,D
Which of the following data structure is non linear type?,Strings,Lists,Stacks,Graph,D
Which of the following data structure is linear type?,Graph,Trees,Binary tree,Stack,D
"To represent hierarchical relationship between elements, Which data structure is suitable?",Dequeue,Priority,Tree,Graph,C
A list which displays the relationship of adjacency between elements is said to be,linear,non linear,linked list,trees,A
Which of the following statement is false ?,Arrays are dense lists and static data structure,data elements in linked list need not be stored in adjecent space in memory,pointers store the next data element of a list,linked lists are collection of the nodes that contain information part and next pointer,C
A linear list of elements in which deletion can be done from one end (front) and insertion can take place only at the other end (rear) is known as a,queue,stack,tree,linked list,A
___________ is neither an algorithm nor a program.,Computing,Pseudo code,Computer science,None of the above,B
The concepts in programming languages are essential knowledge to anyone who wants to become skilled in_________________.,Computer programming,Data structures,Decoding,None of the above,A
Which model is used to organize data in the main memory is called data structure?,Logical,Mathematical,Debugging,All of the above,D
A ________is a linear list of data elements in which the addition of a new element or the deletion of an element occurs only at one end.,Top,Push and pop,Stack,None of the above,C
The hierarchical relationship between data elements can be easily represented using a nonlinear data structure called_______.,Tree,Root node,Child nodes,None of the above,A
What is the process of finding the location of a given data element in the data structure called?,Deletion,Insertion,Traversing,Searching,D
What plays an important role in programming?,Data,Computer,Information,None of the above,A
__________ is a collection of data elements of similar data types.,String,Arrays,Both (a) and (b),,B
Which is an example of a dynamic data structure?,Linked list,Memory location,Stack,String,A
A data structure is a group of data elements grouped together under ______.,One name,Different names,Multiple names,Same name,A
"To write fixed-length records, use file open mode:",ios::app,ios::ate,ios::trunc,ios::binary,D
A random access file is organized most like a(n):,Array,Object,Class,Pointer,A
Which file open mode would be used to write data only to the end of an existing file?,ios::app,ios::in,ios::out,ios::trunc,A
Which one of the below mentioned is linear data structure?,Queue,Stack,Arrays,All of these,D
Term Data Structure refers to _________ and interrelationship between them.,Programming Language Statement,Coding Standards,Organization of data element,None of these,C
Data is nothing but ____________.,Bunch of Information,Piece of Information,Programming Statement,None of these,B
Single and non-decomposable data is called ______________.,Composite Data,Textual Data,Atomic Data,Numeric Data,C
Atomic Data is also called as _____________.,Scalar Data,Dynamic Data,Textual Data,None of these,A
Data that can be broken down into small pieces and each sub-field having the some meaning is called as ___________.,Dynamic Data,Composite Data,Textual Data,Atomic Data,B
Mathematical Model that can have set of operations that can be performed on that model is called as _________.,Abstract Data Type,Composite Data Type,Primitive Data Type,None of these,A
Variable which can be accessed by all modules of the program is called as __________.,Global Variable,Static Variable,Auto Variable,Local Variable,A
"In what kind of storage we can easily insert,delete,concatenate and rearrange substrings ?",Queue,Linked List,Stack,Array,B
ADT is called as Abstract because,It is completely independent data type,It is collection of different data types,Implementation Details are hidden,None of these,C
_________________ defines a set of primitive elements which do not involves any other element as its sub-part.,Non Linear Data Structure,Linear Data Structure,Non-Primitive Data Structure,Primitive Data Structure,D
Non Primitive data Structures are those which define set of _________.,Static Elements,Primitive Elements,Derived Elements,None of these,C
If elements of the data structure forms a sequence of list then it is called as ____________.,Linear data structure,Non-primitive data structure,Primitive data structure,None of these,A
"Data Structure in which one predecessor may have one or more successor , that data structure is called as __________.",Non Linear Data Structure,Linear Data Structure,Primitive Data Structure,Non Primitive Data Structure,A
An ADT is defined to be a mathematical model of a user-defined type along with the collection of all ____________ operations on that model,Primitive,Structured,Cardinality,Assignment,A
Which of the following abstract data types can be used to represent a many to many relation?,Plex,Graph,Both (a) and (b),Tree,C
Rate at which cost of algorithm grows as size of its input grows is called its,Input growth,Outcome growth,Growth rate,Processing rate,C
Critical resource for a program is most often its,Running time,Compile time,Storage,Testing time,A
"A growth rate of n, is referred to as",Absolute growth rate,Linear growth rate,Exponential growth rate,Quadratic growth rate,B
Algorithm that begins with First position in array and looks at each value in turn until it is found is known to be,Linear seaching,Binary searching,Sequential searching,Tree searching,C
Efficiency of an algorithm is measured by,Absolute analysis,Cost analysis,Relative analysis,Asymptotic analysis,D
An algorithm with running-time of a highest-order term containing a factor of n^2 is said to have a,Quadratic growth rate,Exponential growth rate,Absolute growth rate,Linear growth rate,A
An analysis that estimates resource consumption of an algorithm is known to be,Relative analysis,Absolute analysis,Asymptotic analysis,Cost analysis,C
Implementation of operations associated with an ADT is done by a,Member function,Member type,Member object,Member data-type,A
Data types are of form,Physical,Logical,Both a and b,Composite,C
A data structure requires a certain amount of space for each,Data process,Data movement,Data item,Data action,C
ADT stands for,Array data type,Actual data type,Abstract data type,Assertion data type,C
Defining a data type in terms of an ADT is of form,Logical,Physical,Composite,Visual,A
An ADT and data related to its implementation together make up a,Type,Class,Object,Member,B
A collection of values are known as,Chain,Type,Stack,Array,B
